buildingname,buildingaddress,buildingtype,buildingsize,greenmarkyearaward,greenmarkrating,greenmarkstatus,grossfloorarea,2018energyuseintensity,2019energyusintensity,voluntarydisclosure
NEXUS @ONE-NORTH,"3 FUSIONOPOLIS LINK, SINGAPORE 138543",Commercial Building,Large,2019,Platinum,Yes,"25,510",25,23,Y
BCA ACADEMY OF THE BUILT ENVIRONMENT,"200 BRADDELL ROAD, SINGAPORE 579700",Commercial Building,Large,2017,Platinum,Yes,"53,422",41,39,Y
N/A,N/A,Commercial Building,Large,N/A,N/A,Yes,N/A,54,50,N
N/A,N/A,Commercial Building,Large,N/A,N/A,No,N/A,70,74,N
N/A,"51 GRANGE ROAD, SINGAPORE 249564",Commercial Building,Large,2017,Certified,Yes,"20,916",73,74,Y
JURONG TOWN HALL,"9 JURONG TOWN HALL ROAD, SINGAPORE 609431",Commercial Building,Large,2017,Platinum,Yes,"26,248",77,77,Y
GREAT EASTERN @ CHANGI,"200 CHANGI ROAD, SINGAPORE 419734",Commercial Building,Large,N/A,N/A,No,"24,707",103,77,Y
MITSUBISHI ELECTRIC BUILDING,"307 ALEXANDRA ROAD, SINGAPORE 159943",Commercial Building,Large,2014,Platinum,Yes,"16,654",95,80,Y
N/A,"1 DEFU AVENUE 1, SINGAPORE 539540",Commercial Building,Large,N/A,N/A,No,"19,516",84,82,Y
N/A,N/A,Commercial Building,Large,N/A,N/A,Yes,N/A,95,89,N
PLUS,"20 CECIL STREET, SINGAPORE 049705",Commercial Building,Large,N/A,N/A,No,"32,383",66,89,Y
N/A,"501 OLD CHOA CHU KANG ROAD, SINGAPORE 698928",Commercial Building,Large,2019,Platinum,Yes,"137,488",120,90,Y
SCDF JALAN BAHAR CAMP,"91 JALAN BAHAR, SINGAPORE 649735",Commercial Building,Large,N/A,N/A,No,"34,622",88,91,Y
EIGHTRIUM @ CHANGI BUSINESS PARK,"15A CHANGI BUSINESS PARK CENTRAL 1, SINGAPORE 486035",Commercial Building,Large,N/A,N/A,No,"19,876",116,92,Y
N/A,"18 NAPIER ROAD, SINGAPORE 258510",Commercial Building,Large,2014,Platinum,Yes,"15,211",99,93,Y
ICON@IBP,"3A INTERNATIONAL BUSINESS PARK, SINGAPORE 609935",Commercial Building,Large,2009,GoldPlus,Yes,"41,135",102,96,Y
N/A,"1 KAY SIANG ROAD, SINGAPORE 248922",Commercial Building,Large,N/A,N/A,No,"15,091",98,98,Y
AKZONOBEL HOUSE,"3 CHANGI BUSINESS PARK VISTA, SINGAPORE 486051",Commercial Building,Large,2019,Gold,Yes,"19,225",102,98,Y
N/A,N/A,Commercial Building,Large,N/A,N/A,Yes,N/A,124,110,N
TOWER FIFTEEN,"15 HOE CHIANG ROAD, SINGAPORE 089316",Commercial Building,Large,N/A,N/A,No,"23,546",144,111,Y
HIGH STREET CENTRE,"1 NORTH BRIDGE ROAD, SINGAPORE 179094",Commercial Building,Large,2018,Platinum,Yes,"43,000",165,111,Y
N/A,"31 INTERNATIONAL BUSINESS PARK, SINGAPORE 609921",Commercial Building,Large,N/A,N/A,No,"61,720",118,112,Y
GERMAN CENTRE,"25 INTERNATIONAL BUSINESS PARK, SINGAPORE 609916",Commercial Building,Large,2015,Platinum,Yes,"28,421",111,113,Y
TONG ENG BUILDING,"101 CECIL STREET, SINGAPORE 069533",Commercial Building,Large,2013,Platinum,Yes,"22,930",113,114,Y
KEPPEL TOWERS,"10 HOE CHIANG ROAD, SINGAPORE 089315",Commercial Building,Large,N/A,N/A,No,"58,609",156,114,Y
ENVIRONMENT BUILDING,"40 SCOTTS ROAD, SINGAPORE 228231",Commercial Building,Large,2018,Platinum,Yes,"49,021",122,115,Y
NORDIC EUROPEAN CENTRE,"3 INTERNATIONAL BUSINESS PARK, SINGAPORE 609927",Commercial Building,Large,2019,GoldPlus,Yes,"28,378",118,115,Y
N/A,"1A INTERNATIONAL BUSINESS PARK, SINGAPORE 609933",Commercial Building,Large,2009,Gold,Yes,"19,967",111,115,Y
JALAN BESAR PLAZA,"101 KITCHENER ROAD, SINGAPORE 208511",Commercial Building,Large,N/A,N/A,No,"16,815",117,115,Y
N/A,N/A,Commercial Building,Large,N/A,N/A,Yes,N/A,106,116,N
BANGKOK BANK BUILDING,"180 CECIL STREET, SINGAPORE 069546",Commercial Building,Large,N/A,N/A,No,"15,590",114,117,Y
STANDARD CHARTERED @ CHANGI 2,"9 CHANGI BUSINESS PARK CRESCENT, SINGAPORE 486005",Commercial Building,Large,2017,Gold,Yes,"18,365",125,117,Y
HONEYWELL BUILDING,"17 CHANGI BUSINESS PARK CENTRAL 1, SINGAPORE 486073",Commercial Building,Large,N/A,N/A,No,"18,122",118,118,Y
MOUNTBATTEN SQUARE,"229 MOUNTBATTEN ROAD, SINGAPORE 398007",Commercial Building,Large,N/A,N/A,No,"19,916",115,122,Y
COLLEGE OF MEDICINE BUILDING,"16 COLLEGE ROAD, SINGAPORE 169854",Commercial Building,Large,N/A,N/A,No,"17,137",119,123,Y
ACER BUILDING,"29 INTERNATIONAL BUSINESS PARK, SINGAPORE 609923",Commercial Building,Large,N/A,N/A,No,"25,044",139,123,Y
CITY HOUSE,"36 ROBINSON ROAD, SINGAPORE 068877",Commercial Building,Large,2018,Platinum,Yes,"20,180",114,125,Y
VISION EXCHANGE,"2 VENTURE DRIVE, SINGAPORE 608526",Commercial Building,Large,2016,GoldPlus,Yes,"64,562",92,126,Y
CIVIL DEFENCE ACADEMY,"101 JALAN BAHAR, SINGAPORE 649734",Commercial Building,Large,N/A,N/A,No,"40,312",121,128,Y
PARLIAMENT HOUSE COMPLEX,"1 PARLIAMENT PLACE, SINGAPORE 178880",Commercial Building,Large,2015,Platinum,Yes,"19,765",132,128,Y
ALEXANDRA POINT,"438 ALEXANDRA ROAD, SINGAPORE 119958",Commercial Building,Large,2014,Platinum,Yes,"24,895",124,129,Y
MAS BUILDING,"10 SHENTON WAY, SINGAPORE 079117",Commercial Building,Large,2015,Platinum,Yes,"55,206",130,130,Y
THE TREASURY,"100 HIGH STREET, SINGAPORE 179434",Commercial Building,Large,2017,Platinum,Yes,"41,499",134,131,Y
THE CONCOURSE,"300 BEACH ROAD, SINGAPORE 199555",Commercial Building,Large,2013,Platinum,Yes,"62,392",132,134,Y
MINISTRY OF MANPOWER SERVICES CENTRE,"1500 BENDEMEER ROAD, SINGAPORE 339946",Commercial Building,Large,2019,Platinum,Yes,"27,069",132,136,Y
THE STRATEGY,"2 INTERNATIONAL BUSINESS PARK, SINGAPORE 609930",Commercial Building,Large,2018,GoldPlus,Yes,"67,370",135,136,Y
MINISTRY OF MANPOWER BUILDING,"18 HAVELOCK ROAD, SINGAPORE 059764",Commercial Building,Large,2014,Platinum,Yes,"32,034",138,137,Y
THE SIGNATURE,"51 CHANGI BUSINESS PARK CENTRAL 2, SINGAPORE 486066",Commercial Building,Large,2019,Certified,Yes,"47,410",132,138,Y
WINSLAND HOUSE I,"3 KILLINEY ROAD, SINGAPORE 239519",Commercial Building,Large,2017,GoldPlus,Yes,"21,055",140,138,Y
KECK SENG TOWER,"133 CECIL STREET, SINGAPORE 069535",Commercial Building,Large,2018,Certified,Yes,"16,122",138,144,Y
OLD HILL STREET POLICE STATION,"140 HILL STREET, SINGAPORE 179369",Commercial Building,Large,2017,Platinum,Yes,"26,137",134,144,Y
N/A,"1 AVIATION DRIVE, SINGAPORE 499867",Commercial Building,Large,2015,Platinum,Yes,"22,368",140,144,Y
THE JTC SUMMIT,"8 JURONG TOWN HALL ROAD, SINGAPORE 609434",Commercial Building,Large,2018,Platinum,Yes,"56,527",141,145,Y
N/A,N/A,Commercial Building,Large,N/A,N/A,No,N/A,126,145,N
MND BUILDING,"5 MAXWELL ROAD, SINGAPORE 069110",Commercial Building,Large,N/A,N/A,No,"84,229",138,147,Y
SUPREME COURT BUILDING,"1 SUPREME COURT LANE, SINGAPORE 178879",Commercial Building,Large,N/A,N/A,No,"58,824",148,147,Y
SOUTHPOINT,"200 CANTONMENT ROAD, SINGAPORE 089763",Commercial Building,Large,N/A,N/A,No,"33,736",158,147,Y
N/A,N/A,Commercial Building,Large,N/A,N/A,Yes,N/A,133,148,N
MANULIFE TOWER,"8 CROSS STREET, SINGAPORE 048424",Commercial Building,Large,N/A,N/A,No,"42,561",151,149,Y
KEPPEL BAY TOWER,"1 HARBOURFRONT AVENUE, SINGAPORE 098632",Commercial Building,Large,2018,Platinum,Yes,"41,840",146,149,Y
PSA VISTA,"20 HARBOUR DRIVE, SINGAPORE 117612",Commercial Building,Large,2016,Certified,Yes,"23,225",151,151,Y
GREAT EASTERN CENTRE,"1 PICKERING STREET, SINGAPORE 048659",Commercial Building,Large,2010,Certified,Yes,"43,006",194,153,Y
ROBINSON 77,"77 ROBINSON ROAD, SINGAPORE 068896",Commercial Building,Large,2018,Gold,Yes,"36,837",147,153,Y
TOURISM COURT,"1 ORCHARD SPRING LANE, SINGAPORE 247729",Commercial Building,Large,2019,Platinum,Yes,"18,089",152,155,Y
N/A,"79 ANSON ROAD, SINGAPORE 079906",Commercial Building,Large,2019,GoldPlus,Yes,"26,866",135,155,Y
N/A,N/A,Commercial Building,Large,N/A,N/A,No,N/A,151,156,N
GOLDEN MILE TOWER,"6001 BEACH ROAD, SINGAPORE 199589",Commercial Building,Large,2014,Gold,Yes,"37,314",154,156,Y
FUJI XEROX TOWERS,"80 ANSON ROAD, SINGAPORE 079907",Commercial Building,Large,2017,Platinum,Yes,"48,688",162,157,Y
THE URA CENTRE,"45 MAXWELL ROAD, SINGAPORE 069118",Commercial Building,Large,2017,Platinum,Yes,"53,825",146,157,Y
AXA TOWER,"8 SHENTON WAY, SINGAPORE 068811",Commercial Building,Large,2012,Platinum,Yes,"95,625",151,158,Y
SHENTON HOUSE,"3 SHENTON WAY, SINGAPORE 068805",Commercial Building,Large,N/A,N/A,No,"28,835",161,158,Y
PLAZA 8 @ CBP,"1 CHANGI BUSINESS PARK CRESCENT, SINGAPORE 486025",Commercial Building,Large,2019,Gold,Yes,"32,504",165,158,Y
PRUDENTIAL TOWER,"30 CECIL STREET, SINGAPORE 049712",Commercial Building,Large,2017,GoldPlus,Yes,"27,699",137,159,Y
51 CUPPAGE ROAD,"51 CUPPAGE ROAD, SINGAPORE 229469",Commercial Building,Large,2018,Gold,Yes,"30,915",169,159,Y
REVENUE HOUSE,"55 NEWTON ROAD, SINGAPORE 307987",Commercial Building,Large,2014,Platinum,Yes,"86,492",165,162,Y
TRIPLEONE SOMERSET,"111 SOMERSET ROAD, SINGAPORE 238164",Commercial Building,Large,2012,GoldPlus,Yes,"68,233",N/A,163,Y
INTERNATIONAL PLAZA,"10 ANSON ROAD, SINGAPORE 079903",Commercial Building,Large,2012,GoldPlus,Yes,"103,899",163,165,Y
MAPLETREE BUSINESS CITY,"10 PASIR PANJANG ROAD, SINGAPORE 117438",Commercial Building,Large,2019,Platinum,Yes,"312,724",147,165,Y
ASIA SQUARE TOWER 1,"8 MARINA VIEW, SINGAPORE 018960",Commercial Building,Large,2018,Platinum,Yes,"145,650",174,167,Y
JTC CLEANTECH TWO @CLEANTECH PARK,"3 CLEANTECH LOOP, SINGAPORE 637143",Commercial Building,Large,2013,Platinum,Yes,"22,485",170,168,Y
CENTRAL MALL,"1 MAGAZINE ROAD, SINGAPORE 059567",Commercial Building,Large,2017,Platinum,Yes,"15,769",181,169,Y
SCDF HQ 2ND CD DIVISION,"1 TAMPINES INDUSTRIAL AVENUE 3, SINGAPORE 528777",Commercial Building,Large,N/A,N/A,No,"15,342",156,169,Y
N/A,N/A,Commercial Building,Large,N/A,N/A,Yes,N/A,182,169,N
HQ SINGAPORE CIVIL DEFENCE FORCE,"91 UBI AVENUE 4, SINGAPORE 408827",Commercial Building,Large,N/A,N/A,No,"49,327",171,169,Y
MYP CENTRE,"9 BATTERY ROAD, SINGAPORE 049910",Commercial Building,Large,2019,Gold,Yes,"18,565",194,171,Y
SINGAPORE BUSINESS FEDERATION CENTER,"160 ROBINSON ROAD, SINGAPORE 068914",Commercial Building,Large,2014,Platinum,Yes,"28,189",148,171,Y
NUCLEOS,"21 BIOPOLIS ROAD, SINGAPORE 138567",Commercial Building,Large,2012,Gold,Yes,"39,649",156,178,Y
GB BUILDING,"143 CECIL STREET, SINGAPORE 069542",Commercial Building,Large,N/A,N/A,No,"17,306",177,179,Y
CAPITAGREEN,"138 MARKET STREET, SINGAPORE 048946",Commercial Building,Large,2018,Platinum,Yes,"82,003",176,180,Y
GALAXIS,"1 FUSIONOPOLIS PLACE, SINGAPORE 138522",Commercial Building,Large,2018,Platinum,Yes,"68,839",185,180,Y
MANHATTAN HOUSE,"151 CHIN SWEE ROAD, SINGAPORE 169876",Commercial Building,Large,N/A,N/A,No,"16,450",163,182,Y
WINSLAND HOUSE II,"163 PENANG ROAD, SINGAPORE 238463",Commercial Building,Large,2014,GoldPlus,Yes,"18,451",159,183,Y
OUE DOWNTOWN,"6 SHENTON WAY, SINGAPORE 068809",Commercial Building,Large,2017,Certified,Yes,"116,055",181,183,Y
SCDF HQ 1ST CD DIVISION,"3 QUEENSWAY, SINGAPORE 149073",Commercial Building,Large,N/A,N/A,No,"19,040",181,184,Y
THE RUTHERFORD,"89 SCIENCE PARK DRIVE, SINGAPORE 118261",Commercial Building,Large,2019,Certified,Yes,"20,143",212,185,Y
HAW PAR CENTRE,"180 CLEMENCEAU AVENUE, SINGAPORE 239922",Commercial Building,Large,N/A,N/A,No,"16,519",211,185,Y
N/A,"80 ROBINSON ROAD, SINGAPORE 068898",Commercial Building,Large,N/A,N/A,No,"31,031",154,185,Y
FOOK HAI BUILDING,"150 SOUTH BRIDGE ROAD, SINGAPORE 058727",Commercial Building,Large,N/A,N/A,No,"17,884",187,186,Y
STANDARD CHARTERED @ CHANGI,"7 CHANGI BUSINESS PARK CRESCENT, SINGAPORE 486028",Commercial Building,Large,2016,Platinum,Yes,"27,076",191,186,Y
N/A,"63 CHULIA STREET, SINGAPORE 049514",Commercial Building,Large,2016,Gold,Yes,"22,518",201,186,Y
N/A,N/A,Commercial Building,Large,N/A,N/A,Yes,N/A,148,187,N
CURRENCY HOUSE,"109 PASIR PANJANG ROAD, SINGAPORE 118536",Commercial Building,Large,N/A,N/A,No,"15,423",185,188,Y
N/A,N/A,Commercial Building,Large,N/A,N/A,Yes,N/A,181,188,N
20 COLLYER QUAY,"20 COLLYER QUAY, SINGAPORE 049319",Commercial Building,Large,N/A,N/A,No,"34,736",189,188,Y
SYNAPSE,"3 BIOPOLIS DRIVE, SINGAPORE 138623",Commercial Building,Large,2011,Gold,Yes,"42,976",185,188,Y
OXLEY TOWER,"138 ROBINSON ROAD, SINGAPORE 068906",Commercial Building,Large,2016,Certified,Yes,"16,839",165,189,Y
ROBINSON POINT,"39 ROBINSON ROAD, SINGAPORE 068911",Commercial Building,Large,2008,Certified,Yes,"15,724",201,189,Y
HANSAPOINT,"10 CHANGI BUSINESS PARK CENTRAL 2, SINGAPORE 486030",Commercial Building,Large,N/A,N/A,No,"19,102",207,190,Y
N/A,N/A,Commercial Building,Large,N/A,N/A,Yes,N/A,193,190,N
MAPLETREE ANSON,"60 ANSON ROAD, SINGAPORE 079914",Commercial Building,Large,2016,Platinum,Yes,"35,657",210,196,Y
GOLDBELL TOWERS,"47 SCOTTS ROAD, SINGAPORE 228233",Commercial Building,Large,2017,Gold,Yes,"17,815",188,196,Y
WOODLANDS CIVIC CENTRE,"900 SOUTH WOODLANDS DRIVE, SINGAPORE 730900",Commercial Building,Large,2015,Platinum,Yes,"38,325",225,200,Y
N/A,"51 SCOTTS ROAD, SINGAPORE 228241",Commercial Building,Large,N/A,N/A,No,"15,645",206,200,Y
OCBC CENTRE,"65 CHULIA STREET, SINGAPORE 049513",Commercial Building,Large,2016,Gold,Yes,"75,079",199,200,Y
N/A,N/A,Commercial Building,Large,N/A,N/A,No,N/A,184,201,N
MARINA BAY FINANCIAL CENTRE,"8 MARINA BOULEVARD, SINGAPORE 018981",Commercial Building,Large,2017,Platinum,Yes,"338,032",208,202,Y
INCOME AT TAMPINES JUNCTION,"300 TAMPINES AVENUE 5, SINGAPORE 529653",Commercial Building,Large,2016,GoldPlus,Yes,"19,566",195,202,Y
REPUBLIC PLAZA,"9 RAFFLES PLACE, SINGAPORE 048619",Commercial Building,Large,2018,Platinum,Yes,"102,356",183,203,Y
ONE RAFFLES PLACE,"1 RAFFLES PLACE, SINGAPORE 048616",Commercial Building,Large,2016,Gold,Yes,"117,542",206,204,Y
ASIA SQUARE TOWER 2,"12 MARINA VIEW, SINGAPORE 018961",Commercial Building,Large,2017,Platinum,Yes,"99,576",208,206,Y
SPRINGLEAF TOWER,"3 ANSON ROAD, SINGAPORE 079909",Commercial Building,Large,N/A,N/A,No,"33,846",209,207,Y
MOE BUILDING,"1 NORTH BUONA VISTA DRIVE, SINGAPORE 138675",Commercial Building,Large,2017,Platinum,Yes,"51,479",213,207,Y
CONNEXIS,"1 FUSIONOPOLIS WAY, SINGAPORE 138632",Commercial Building,Large,2016,Platinum,Yes,"120,384",220,207,Y
N/A,N/A,Commercial Building,Large,N/A,N/A,Yes,N/A,209,209,N
TWENTY ANSON,"20 ANSON ROAD, SINGAPORE 079912",Commercial Building,Large,2018,Platinum,Yes,"23,418",201,209,Y
OCEAN FINANCIAL CENTRE,"10 COLLYER QUAY, SINGAPORE 049315",Commercial Building,Large,2019,Platinum,Yes,"95,992",201,210,Y
THE METROPOLIS,"9 NORTH BUONA VISTA DRIVE, SINGAPORE 138588",Commercial Building,Large,2013,Platinum,Yes,"100,096",207,212,Y
ONE GEORGE STREET,"1 GEORGE STREET, SINGAPORE 049145",Commercial Building,Large,2018,GoldPlus,Yes,"51,661",214,215,Y
SINGAPORE POST CENTRE,"10 EUNOS ROAD 8, SINGAPORE 408600",Commercial Building,Large,N/A,N/A,No,"162,134",211,217,Y
AIA TOWER,"1 ROBINSON ROAD, SINGAPORE 048542",Commercial Building,Large,2019,Certified,Yes,"15,276",233,218,Y
OUR TAMPINES HUB,"1 TAMPINES WALK, SINGAPORE528523",Commercial Building,Large,2016,Platinum,Yes,"120,263",199,218,Y
EMPRESS PLACE BUILDING,"1 EMPRESS PLACE, SINGAPORE 179555",Commercial Building,Large,N/A,N/A,No,"16,448",223,220,Y
SINGAPORE SCIENCE CENTRE,"15 SCIENCE CENTRE ROAD, SINGAPORE 609081",Commercial Building,Large,2019,GoldPlus,Yes,"31,296",222,221,Y
N/A,N/A,Commercial Building,Large,N/A,N/A,No,N/A,216,222,N
POLICE CANTONMENT COMPLEX,"391 NEW BRIDGE ROAD, SINGAPORE 088762",Commercial Building,Large,2019,Platinum,Yes,"106,793",237,225,Y
INCOME AT RAFFLES,"16 COLLYER QUAY, SINGAPORE 049318",Commercial Building,Large,2019,GoldPlus,Yes,"38,596",243,226,Y
HARBOURFRONT CENTRE,"1 MARITIME SQUARE, SINGAPORE 099253",Commercial Building,Large,2017,Platinum,Yes,"169,727",231,226,Y
ONE @ CHANGI CITY,"1 CHANGI BUSINESS PARK CENTRAL 1, SINGAPORE 486036",Commercial Building,Large,2011,GoldPlus,Yes,"71,158",234,226,Y
AIA ALEXANDRA,"371 ALEXANDRA ROAD, SINGAPORE 159963",Commercial Building,Large,2017,Certified,Yes,"17,828",247,227,Y
N/A,"71 ROBINSON ROAD, SINGAPORE 068895",Commercial Building,Large,2019,Gold,Yes,"24,089",221,227,Y
N/A,N/A,Commercial Building,Large,N/A,N/A,Yes,N/A,216,227,N
PSA BUILDING,"460 ALEXANDRA ROAD, SINGAPORE 119963",Commercial Building,Large,2018,GoldPlus,Yes,"79,650",231,229,Y
LAND TRANSPORT AUTHORITY,"1 HAMPSHIRE ROAD, SINGAPORE 219428",Commercial Building,Large,N/A,N/A,No,"37,923",230,231,Y
N/A,N/A,Commercial Building,Large,N/A,N/A,Yes,N/A,223,234,N
PARKVIEW SQUARE,"600 NORTH BRIDGE ROAD, SINGAPORE 188778",Commercial Building,Large,N/A,N/A,No,"39,149",237,235,Y
THE SYNERGY,"1 INTERNATIONAL BUSINESS PARK, SINGAPORE 609917",Commercial Building,Large,N/A,N/A,No,"41,363",231,239,Y
CAPITAL TOWER,"168 ROBINSON ROAD, SINGAPORE 068912",Commercial Building,Large,2017,Platinum,Yes,"95,555",258,246,Y
SULTAN PLAZA,"100 JALAN SULTAN, SINGAPORE 199001",Commercial Building,Large,N/A,N/A,No,"17,034",246,247,Y
N/A,N/A,Commercial Building,Large,N/A,N/A,No,N/A,256,249,N
PAYA LEBAR SQUARE,"60 PAYA LEBAR ROAD, SINGAPORE 409051",Commercial Building,Large,2013,GoldPlus,Yes,"61,153",243,250,Y
N/A,"2 BUKIT MERAH CENTRAL, SINGAPORE 159835",Commercial Building,Large,N/A,N/A,No,"23,278",245,251,Y
TANJONG PAGAR CENTRE,"7 WALLICH STREET, SINGAPORE 078884",Commercial Building,Large,2013,Platinum,Yes,"129,726",247,252,Y
PEACE CENTRE,"1 SOPHIA ROAD, SINGAPORE 228149",Commercial Building,Large,N/A,N/A,No,"36,800",257,256,Y
SHAW HOUSE,"350 ORCHARD ROAD, SINGAPORE 238868",Commercial Building,Large,2012,Gold,Yes,"49,048",260,258,Y
SINGAPORE LAND TOWER,"50 RAFFLES PLACE, SINGAPORE 048623",Commercial Building,Large,N/A,N/A,No,"64,277",264,259,Y
CLIFFORD CENTRE,"24 RAFFLES PLACE, SINGAPORE 048621",Commercial Building,Large,N/A,N/A,No,"37,281",252,259,Y
THE MENDEL,"12 SCIENCE PARK DRIVE, SINGAPORE 118225",Commercial Building,Large,2013,GoldPlus,Yes,"75,269",256,265,Y
N/A,"3 TAMPINES GRANDE, SINGAPORE 528799",Commercial Building,Large,2017,Certified,Yes,"15,345",275,268,Y
HONG LEONG BUILDING,"16 RAFFLES QUAY, SINGAPORE 048581",Commercial Building,Large,N/A,N/A,No,"47,744",256,270,Y
UOB PLAZA,"80 RAFFLES PLACE, SINGAPORE 048624",Commercial Building,Large,2013,GoldPlus,Yes,"100,125",290,270,Y
WILKIE EDGE,"8 WILKIE ROAD, SINGAPORE 228095",Commercial Building,Large,2016,Gold,Yes,"29,812",269,275,Y
SANDCRAWLER,"1 FUSIONOPOLIS VIEW, SINGAPORE 138577",Commercial Building,Large,2019,Platinum,Yes,"22,495",292,278,Y
N/A,"984 UPPER CHANGI ROAD NORTH, SINGAPORE 506969",Commercial Building,Large,2015,Legislated,Yes,"386,781",306,284,Y
N/A,"70 BIOPOLIS STREET, SINGAPORE 138547",Commercial Building,Large,2018,Gold,Yes,"33,363",294,286,Y
OUE BAYFRONT,"50 COLLYER QUAY, SINGAPORE 049321",Commercial Building,Large,2019,Gold,Yes,"40,450",289,288,Y
N/A,"1 RAFFLES QUAY, SINGAPORE 048583",Commercial Building,Large,2019,Platinum,Yes,"144,109",250,290,Y
STATE COURTS,"1 HAVELOCK SQUARE, SINGAPORE 059724",Commercial Building,Large,N/A,N/A,No,"29,675",130,293,Y
DUO TOWER,"3 FRASER STREET, SINGAPORE 189352",Commercial Building,Large,2013,Platinum,Yes,"71,715",269,298,Y
SGX CENTRE I,"2 SHENTON WAY, SINGAPORE 068804",Commercial Building,Large,N/A,N/A,No,"29,964",291,302,Y
CLEANTECH ONE,"1 CLEANTECH LOOP, SINGAPORE 637141",Commercial Building,Large,2018,Platinum,Yes,"28,800",294,302,Y
KINESIS,"4 FUSIONOPOLIS WAY, SINGAPORE 138635",Commercial Building,Large,2012,Platinum,Yes,"33,123",298,305,Y
N/A,N/A,Commercial Building,Large,N/A,N/A,Yes,N/A,303,305,N
N/A,N/A,Commercial Building,Large,N/A,N/A,Yes,N/A,319,307,N
N/A,N/A,Commercial Building,Large,N/A,N/A,Yes,N/A,322,308,N
THE GEMINI,"41 SCIENCE PARK ROAD, SINGAPORE 117610",Commercial Building,Large,N/A,N/A,No,"32,629",356,316,Y
DBS ASIA HUB,"2 CHANGI BUSINESS PARK CRESCENT, SINGAPORE 486029",Commercial Building,Large,2018,Platinum,Yes,"38,774",322,320,Y
INFINITE STUDIOS,"21 MEDIA CIRCLE, SINGAPORE 138562",Commercial Building,Large,N/A,N/A,No,"20,484",328,324,Y
PARKWAY PARADE,"80 MARINE PARADE ROAD, SINGAPORE 449269",Commercial Building,Large,2016,Platinum,Yes,"99,012",330,326,Y
SGX CENTRE II,"4 SHENTON WAY, SINGAPORE 068807",Commercial Building,Large,N/A,N/A,No,"29,964",332,329,Y
SHAW TOWERS,"100 BEACH ROAD, SINGAPORE 189702",Commercial Building,Large,N/A,N/A,No,"29,199",232,331,Y
ICA BUILDING,"10 KALLANG ROAD, SINGAPORE 208718",Commercial Building,Large,N/A,N/A,No,"37,819",338,340,Y
TUV SUD PSB BUILDING,"1 SCIENCE PARK DRIVE, SINGAPORE 118221",Commercial Building,Large,N/A,N/A,No,"32,079",328,345,Y
N/A,N/A,Commercial Building,Large,N/A,N/A,No,N/A,359,347,N
CAPITAL SQUARE,"23 CHURCH STREET, SINGAPORE 049481",Commercial Building,Large,2018,GoldPlus,Yes,"36,196",328,348,Y
BANK OF CHINA BUILDING,"4 BATTERY ROAD, SINGAPORE 049908",Commercial Building,Large,N/A,N/A,No,"15,480",373,354,Y
CPF TAMPINES BUILDING,"1 TAMPINES CENTRAL 5, SINGAPORE 529508",Commercial Building,Large,N/A,N/A,No,"15,551",359,356,Y
SHAW CENTRE,"1 SCOTTS ROAD, SINGAPORE 228208",Commercial Building,Large,2012,Gold,Yes,"40,939",362,360,Y
ONE RAFFLES LINK,"1 RAFFLES LINK, SINGAPORE 039393",Commercial Building,Large,2018,GoldPlus,Yes,"36,280",386,376,Y
BANK OF AMERICA MERRILL LYNCH HARBOURFRONT,"2 HARBOURFRONT PLACE, SINGAPORE 098499",Commercial Building,Large,2018,GoldPlus,Yes,"22,722",401,410,Y
VALLEY POINT,"491 RIVER VALLEY ROAD, SINGAPORE 248371",Commercial Building,Large,2016,Gold,Yes,"27,291",424,424,Y
HEALTH SCIENCES AUTHORITY BUILDING,"11 OUTRAM ROAD, SINGAPORE 169078",Commercial Building,Large,2016,GoldPlus,Yes,"17,284",448,454,Y
BANK OF SINGAPORE CENTRE,"63 MARKET STREET, SINGAPORE 048942",Commercial Building,Large,N/A,N/A,No,"18,275",458,458,Y
N/A,N/A,Commercial Building,Large,N/A,N/A,Yes,N/A,450,468,N
INNOVIS,"2 FUSIONOPOLIS WAY, SINGAPORE 138634",Commercial Building,Large,2012,Platinum,Yes,"41,193",509,508,Y
N/A,"83 CLEMENCEAU AVENUE, SINGAPORE 239920",Commercial Building,Large,N/A,N/A,No,"30,809",478,514,Y
SEAGATE SINGAPORE DESIGN CENTER - THE SHUGART,"26 AYER RAJAH CRESCENT, SINGAPORE 139944",Commercial Building,Large,2015,Platinum,Yes,"40,880",527,516,Y
INTERNATIONAL BUILDING,"360 ORCHARD ROAD, SINGAPORE 238869",Commercial Building,Large,2015,GoldPlus,Yes,"15,267",535,545,Y
CINTECH II BUILDING,"75 SCIENCE PARK DRIVE, SINGAPORE 118255",Commercial Building,Large,2019,GoldPlus,Yes,"54,211",755,550,Y
TELEPARK,"5 TAMPINES CENTRAL 6, SINGAPORE 529482",Commercial Building,Large,N/A,N/A,No,"42,420",573,575,Y
HELIOS,"11 BIOPOLIS WAY, SINGAPORE 138667",Commercial Building,Large,2016,GoldPlus,Yes,"170,856",663,676,Y
UOB ALEXANDRA BUILDING,"396 ALEXANDRA ROAD, SINGAPORE 119954",Commercial Building,Large,2017,GoldPlus,Yes,"30,469",701,749,Y
SYNTHESIS,"6 FUSIONOPOLIS WAY, SINGAPORE 138636",Commercial Building,Large,2012,Platinum,Yes,"19,173","1,093","1,126",Y
N/A,N/A,Commercial Building,Large,N/A,N/A,Yes,N/A,N/A,N/A,N
