Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,Floor Level
CENTROPOD @ CHANGI,CHANGI ROAD,Office,"330,000",118.4,"2,787",Jan-26,Strata,11,"30,000",Freehold,14,01 to 05
SUNSHINE PLAZA,BENCOOLEN STREET,Office,"1,000,000",505.91,"1,977",Jan-26,Strata,47,"21,277",99 yrs lease commencing from 1997,07,06 to 10
VISION EXCHANGE,VENTURE DRIVE,Office,"1,280,000",699.66,"1,829",Jan-26,Strata,65,"19,692",99 yrs lease commencing from 2013,22,11 to 15
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,435,000",656.6,"2,185",Jan-26,Strata,61,"23,525",99 yrs lease commencing from 2014,25,11 to 15
HIGH STREET CENTRE,NORTH BRIDGE ROAD,Office,"550,000",269.1,"2,044",Jan-26,Strata,25,"22,000",99 yrs lease commencing from 1969,06,01 to 05
HIGH STREET CENTRE,NORTH BRIDGE ROAD,Office,"1,040,000",548.96,"1,894",Jan-26,Strata,51,"20,392",99 yrs lease commencing from 1969,06,16 to 20
THE MEZZO,BALESTIER ROAD,Office,"1,008,888",592.02,"1,704",Jan-26,Strata,55,"18,343",Freehold,12,01 to 05
WISMA ATRIA,ORCHARD ROAD,Office,"4,925,800","2,238.91","2,200",Jan-26,Strata,208,"23,682",99 yrs lease commencing from 1962,09,06 to 10
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"517,000",462.85,"1,117",Jan-26,Strata,43,"12,023",99 yrs lease commencing from 1969,03,06 to 10
SUNTEC TOWER THREE,TEMASEK BOULEVARD,Office,"11,408,665","2,927.81","3,897",Jan-26,Strata,272,"41,944",99 yrs lease commencing from 1989,01,36 to 40
INTERNATIONAL PLAZA,ANSON ROAD,Office,"1,650,000",936.47,"1,762",Jan-26,Strata,87,"18,966",99 yrs lease commencing from 1970,02,21 to 25
GIFFARD MANSIONS,BALESTIER ROAD,Office,"858,000",505.91,"1,696",Jan-26,Strata,47,"18,255",Freehold,12,01 to 05
PEK CHUAN BUILDING,LAVENDER STREET,Office,"718,000",645.84,"1,112",Dec-25,Strata,60,"11,967",99 yrs lease commencing from 1978,12,01 to 05
KENSINGTON SQUARE,JALAN LOKAM,Office,"910,000",301.39,"3,019",Dec-25,Strata,28,"32,500",Freehold,19,01 to 05
KATONG SHOPPING CENTRE,MOUNTBATTEN ROAD,Office,"638,888",161.46,"3,957",Dec-25,Strata,15,"42,593",Freehold,15,01 to 05
GOLDEN MILE TOWER,BEACH ROAD,Office,"300,000",193.75,"1,548",Dec-25,Strata,18,"16,667",99 yrs lease commencing from 1969,07,B1 to B5
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,410,000",635.08,"2,220",Dec-25,Strata,59,"23,898",99 yrs lease commencing from 2011,14,06 to 10
BURLINGTON SQUARE,BENCOOLEN STREET,Office,"988,000",548.96,"1,800",Dec-25,Strata,51,"19,373",99 yrs lease commencing from 1996,07,06 to 10
BURLINGTON SQUARE,BENCOOLEN STREET,Office,"1,780,000",990.29,"1,797",Dec-25,Strata,92,"19,348",99 yrs lease commencing from 1996,07,06 to 10
VISION EXCHANGE,VENTURE DRIVE,Office,"1,300,000",764.24,"1,701",Dec-25,Strata,71,"18,310",99 yrs lease commencing from 2013,22,06 to 10
THE PLAZA,BEACH ROAD,Office,"1,218,045",871.88,"1,397",Dec-25,Strata,81,"15,038",99 yrs lease commencing from 1968,07,06 to 10
THE PLAZA,BEACH ROAD,Office,"601,504",430.56,"1,397",Dec-25,Strata,40,"15,038",99 yrs lease commencing from 1968,07,06 to 10
THE PLAZA,BEACH ROAD,Office,"601,504",430.56,"1,397",Dec-25,Strata,40,"15,038",99 yrs lease commencing from 1968,07,06 to 10
THE PLAZA,BEACH ROAD,Office,"616,541",441.32,"1,397",Dec-25,Strata,41,"15,038",99 yrs lease commencing from 1968,07,06 to 10
THE PLAZA,BEACH ROAD,Office,"962,406",688.9,"1,397",Dec-25,Strata,64,"15,038",99 yrs lease commencing from 1968,07,06 to 10
HIGH STREET PLAZA,HIGH STREET,Office,"1,600,000",742.72,"2,154",Dec-25,Strata,69,"23,188",999 yrs lease commencing from 1827,06,01 to 05
HIGH STREET CENTRE,NORTH BRIDGE ROAD,Office,"975,000",548.96,"1,776",Dec-25,Strata,51,"19,118",99 yrs lease commencing from 1969,06,16 to 20
OXLEY TOWER,ROBINSON ROAD,Office,"3,300,000","1,151.75","2,865",Dec-25,Strata,107,"30,841",Freehold,01,16 to 20
111 SOMERSET,SOMERSET ROAD,Office,"3,680,000","1,259.39","2,922",Dec-25,Strata,117,"31,453",99 yrs lease commencing from 1975,09,11 to 15
SOUTHBANK,NORTH BRIDGE ROAD,Office,"1,388,888",688.9,"2,016",Dec-25,Strata,64,"21,701",99 yrs lease commencing from 2006,07,01 to 05
THE CENTRAL,EU TONG SEN STREET,Office,"7,400,000","2,368.08","3,125",Dec-25,Strata,220,"33,636",99 yrs lease commencing from 2001,01,11 to 15
WIS@CHANGI,CHANGI ROAD,Office,"1,050,000",818.06,"1,284",Dec-25,Strata,76,"13,816",Freehold,14,01 to 05
