Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,Floor Level
VISIONCREST,PENANG ROAD,Office,"42,974,042","14,725.15","2,918",Nov-23,Strata,"1,368","31,414",Freehold,09,06 to 10
VISIONCREST,PENANG ROAD,Office,"43,255,531","14,725.15","2,938",Nov-23,Strata,"1,368","31,620",Freehold,09,06 to 10
VISIONCREST,PENANG ROAD,Office,"43,818,510","14,843.56","2,952",Nov-23,Strata,"1,379","31,776",Freehold,09,06 to 10
VISIONCREST,PENANG ROAD,Office,"44,006,170","14,843.56","2,965",Nov-23,Strata,"1,379","31,912",Freehold,09,06 to 10
VISIONCREST,PENANG ROAD,Office,"43,724,680","17,868.24","2,447",Nov-23,Strata,"1,660","26,340",Freehold,09,11 to 15
SOUTHBANK,NORTH BRIDGE ROAD,Office,"1,380,000",688.9,"2,003",Nov-23,Strata,64,"21,563",99 yrs lease commencing from 2006,07,06 to 10
111 SOMERSET,SOMERSET ROAD,Office,"1,188,888",516.67,"2,301",Nov-23,Strata,48,"24,769",99 yrs lease commencing from 1975,09,06 to 10
THE CENTRAL,EU TONG SEN STREET,Office,"2,600,000",882.65,"2,946",Nov-23,Strata,82,"31,707",99 yrs lease commencing from 2001,01,11 to 15
SOHO LIFE,JOO CHIAT ROAD,Office,"725,000",398.27,"1,820",Nov-23,Strata,37,"19,595",Freehold,15,01 to 05
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"1,116,637",452.09,"2,470",Nov-23,Strata,42,"26,587",999 yrs lease commencing from 1829,06,06 to 10
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,166,076",559.73,"2,083",Nov-23,Strata,52,"22,425",99 yrs lease commencing from 2014,25,06 to 10
FUYUEN COURT,SIMS AVENUE,Office,"1,958,000","1,894.46","1,034",Nov-23,Strata,176,"11,125",Freehold,14,01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,135,000",538.2,"2,109",Nov-23,Strata,50,"22,700",99 yrs lease commencing from 2011,14,01 to 05
HAVELOCK2,HAVELOCK ROAD,Office,"1,150,000",516.67,"2,226",Nov-23,Strata,48,"23,958",99 yrs lease commencing from 1983,01,01 to 05
CT HUB 2,LAVENDER STREET,Office,"1,939,700","1,140.98","1,700",Nov-23,Strata,106,"18,299",63 yrs lease commencing from 2012,12,11 to 15
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,259,000",645.84,"1,949",Nov-23,Strata,60,"20,983",99 yrs lease commencing from 2011,14,01 to 05
CHINATOWN POINT,NEW BRIDGE ROAD,Office,"1,880,000","1,054.87","1,782",Nov-23,Strata,98,"19,184",99 yrs lease commencing from 1980,01,11 to 15
SIM LIM TOWER,JALAN BESAR,Office,"1,300,000",592.02,"2,196",Nov-23,Strata,55,"23,636",Freehold,08,11 to 15
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,186,330",559.73,"2,119",Nov-23,Strata,52,"22,814",99 yrs lease commencing from 2014,25,06 to 10
OXLEY TOWER,ROBINSON ROAD,Office,"3,500,000","1,001.05","3,496",Nov-23,Strata,93,"37,634",Freehold,01,16 to 20
OXLEY TOWER,ROBINSON ROAD,Office,"3,700,000","1,162.51","3,183",Nov-23,Strata,108,"34,259",Freehold,01,16 to 20
TEXTILE CENTRE,JALAN SULTAN,Office,"910,000",882.65,"1,031",Nov-23,Strata,82,"11,098",99 yrs lease commencing from 1970,07,11 to 15
SHENTON HOUSE,SHENTON WAY,Office,"538,000,000","4,746.92","113,337",Nov-23,Strata,441,"1,219,955",99 yrs lease commencing from 1969,01,21 to 25
UNITED HOUSE,KRAMAT LANE,Office,"983,888",570.49,"1,725",Oct-23,Strata,53,"18,564",Freehold,09,01 to 05
PLUS,CECIL STREET,Office,"2,440,051",495.14,"4,928",Oct-23,Strata,46,"53,045",99 yrs lease commencing from 1989,01,01 to 05
PLUS,CECIL STREET,Office,"2,548,498",516.67,"4,933",Oct-23,Strata,48,"53,094",99 yrs lease commencing from 1989,01,01 to 05
PLUS,CECIL STREET,Office,"2,440,051",495.14,"4,928",Oct-23,Strata,46,"53,045",99 yrs lease commencing from 1989,01,01 to 05
PLUS,CECIL STREET,Office,"2,809,756",570.49,"4,925",Oct-23,Strata,53,"53,014",99 yrs lease commencing from 1989,01,01 to 05
PS100,PECK SEAH STREET,Office,"1,150,000",441.32,"2,606",Oct-23,Strata,41,"28,049",99 yrs lease commencing from 2011,02,11 to 15
THE PLAZA,BEACH ROAD,Office,"973,800",688.9,"1,414",Oct-23,Strata,64,"15,216",99 yrs lease commencing from 1968,07,06 to 10
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"2,090,000",947.23,"2,206",Oct-23,Strata,88,"23,750",99 yrs lease commencing from 2011,14,06 to 10
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,198,645",559.73,"2,141",Oct-23,Strata,52,"23,051",99 yrs lease commencing from 2014,25,06 to 10
INTERNATIONAL PLAZA,ANSON ROAD,Office,"815,000",462.85,"1,761",Oct-23,Strata,43,"18,953",99 yrs lease commencing from 1970,02,16 to 20
INTERNATIONAL PLAZA,ANSON ROAD,Office,"371,000",161.46,"2,298",Oct-23,Strata,15,"24,733",99 yrs lease commencing from 1970,02,26 to 30
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,180,000",505.91,"2,332",Oct-23,Strata,47,"25,106",99 yrs lease commencing from 2011,14,11 to 15
N.A.,UPPER SERANGOON ROAD,Office,"1,680,000","1,851.41",907,Oct-23,Strata,172,"9,767",999 yrs lease commencing from 1878,19,01 to 05
THE CENTRAL,EU TONG SEN STREET,Office,"2,200,000",871.88,"2,523",Oct-23,Strata,81,"27,160",99 yrs lease commencing from 2001,01,16 to 20
SBF CENTER,ROBINSON ROAD,Office,"2,550,000",753.48,"3,384",Oct-23,Strata,70,"36,429",99 yrs lease commencing from 2011,01,11 to 15
VISION EXCHANGE,VENTURE DRIVE,Office,"3,009,000","1,442.38","2,086",Oct-23,Strata,134,"22,455",99 yrs lease commencing from 2013,22,06 to 10
FUYUEN COURT,SIMS AVENUE,Office,"1,280,000","1,291.68",991,Oct-23,Strata,120,"10,667",Freehold,14,01 to 05
PARKWAY PARADE,MARINE PARADE ROAD,Office,"1,800,000",925.7,"1,944",Oct-23,Strata,86,"20,930",99 yrs lease commencing from 1979,15,06 to 10
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,174,213",559.73,"2,098",Oct-23,Strata,52,"22,581",99 yrs lease commencing from 2014,25,06 to 10
PARKWAY CENTRE,MARINE PARADE CENTRAL,Office,"1,488,000",828.83,"1,795",Oct-23,Strata,77,"19,325",99 yrs lease commencing from 1981,15,06 to 10
SLF BUILDING,THOMSON ROAD,Office,"10,000,000","9,450.79","1,058",Oct-23,Strata,878,"11,390",99 yrs lease commencing from 1979,11,06 to 10
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"4,300,000","1,776.06","2,421",Oct-23,Strata,165,"26,061",999 yrs lease commencing from 1829,06,11 to 15
GIFFARD MANSIONS,BALESTIER ROAD,Office,"590,000",290.63,"2,030",Oct-23,Strata,27,"21,852",Freehold,12,01 to 05
HAVELOCK2,HAVELOCK ROAD,Office,"618,591",376.74,"1,642",Oct-23,Strata,35,"17,674",99 yrs lease commencing from 1983,01,06 to 10
HAVELOCK2,HAVELOCK ROAD,Office,"581,409",355.21,"1,637",Oct-23,Strata,33,"17,618",99 yrs lease commencing from 1983,01,06 to 10
WOODS SQUARE,WOODLANDS SQUARE,Office,"950,000",559.73,"1,697",Oct-23,Strata,52,"18,269",99 yrs lease commencing from 2014,25,01 to 05
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"4,262,400","1,776.06","2,400",Oct-23,Strata,165,"25,833",999 yrs lease commencing from 1829,06,11 to 15
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,142,033",559.73,"2,040",Sep-23,Strata,52,"21,962",99 yrs lease commencing from 2014,25,06 to 10
INTERNATIONAL PLAZA,ANSON ROAD,Office,"2,760,700","1,453.14","1,900",Sep-23,Strata,135,"20,450",99 yrs lease commencing from 1970,02,26 to 30
CT HUB 2,LAVENDER STREET,Office,"1,352,550",635.08,"2,130",Sep-23,Strata,59,"22,925",63 yrs lease commencing from 2012,12,11 to 15
PLUS,CECIL STREET,Office,"2,533,000",785.77,"3,224",Sep-23,Strata,73,"34,699",99 yrs lease commencing from 1989,01,21 to 25
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,288,000",505.91,"2,546",Sep-23,Strata,47,"27,404",99 yrs lease commencing from 2011,14,11 to 15
THE ARCADE,COLLYER QUAY,Office,"8,800,000","2,195.86","4,008",Sep-23,Strata,204,"43,137",99 yrs lease commencing from 1980,01,01 to 05
THE PLAZA,BEACH ROAD,Office,"740,000",505.91,"1,463",Sep-23,Strata,47,"15,745",99 yrs lease commencing from 1968,07,06 to 10
INTERNATIONAL PLAZA,ANSON ROAD,Office,"950,000",462.85,"2,052",Sep-23,Strata,43,"22,093",99 yrs lease commencing from 1970,02,11 to 15
SOHO LIFE,JOO CHIAT ROAD,Office,"710,000",387.5,"1,832",Sep-23,Strata,36,"19,722",Freehold,15,01 to 05
CHINATOWN POINT,NEW BRIDGE ROAD,Office,"1,470,000",742.72,"1,979",Sep-23,Strata,69,"21,304",99 yrs lease commencing from 1980,01,06 to 10
CHINATOWN POINT,NEW BRIDGE ROAD,Office,"1,430,000",721.19,"1,983",Sep-23,Strata,67,"21,343",99 yrs lease commencing from 1980,01,06 to 10
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"6,000,000","2,174.33","2,759",Sep-23,Strata,202,"29,703",999 yrs lease commencing from 1829,06,26 to 30
CONCORDE SHOPPING CENTRE,OUTRAM ROAD,Office,"360,000",161.46,"2,230",Sep-23,Strata,15,"24,000",99 yrs lease commencing from 1980,03,B1 to B5
VISION EXCHANGE,VENTURE DRIVE,Office,"1,128,000",516.67,"2,183",Sep-23,Strata,48,"23,500",99 yrs lease commencing from 2013,22,11 to 15
EON SHENTON,SHENTON WAY,Office,"1,050,000",505.91,"2,075",Sep-23,Strata,47,"22,340",99 yrs lease commencing from 2011,02,16 to 20
SOHO LIFE,JOO CHIAT ROAD,Office,"678,000",344.45,"1,968",Sep-23,Strata,32,"21,188",Freehold,15,01 to 05
CITY PLAZA,GEYLANG ROAD,Office,"5,800,000","1,130.22","5,132",Sep-23,Strata,105,"55,238",Freehold,14,01 to 05
HOUGANG GREEN SHOPPING MALL,HOUGANG STREET 51,Office,"1,150,000",269.1,"4,274",Sep-23,Strata,25,"46,000",99 yrs lease commencing from 1994,19,01 to 05
ONE CLAYMORE,CLAYMORE DRIVE,Office,"2,850,000","1,227.1","2,323",Aug-23,Strata,114,"25,000",Freehold,09,06 to 10
STUDIO8,JALAN AYER,Office,"760,000",409.03,"1,858",Aug-23,Strata,38,"20,000",Freehold,14,01 to 05
INTERNATIONAL PLAZA,ANSON ROAD,Office,"890,000",462.85,"1,923",Aug-23,Strata,43,"20,698",99 yrs lease commencing from 1970,02,31 to 35
INTERNATIONAL PLAZA,ANSON ROAD,Office,"890,000",462.85,"1,923",Aug-23,Strata,43,"20,698",99 yrs lease commencing from 1970,02,31 to 35
EMERALD GARDEN,CLUB STREET,Office,"3,050,000",828.83,"3,680",Aug-23,Strata,77,"39,610",999 yrs lease commencing from 1827,01,01 to 05
111 SOMERSET,SOMERSET ROAD,Office,"3,690,000","1,367.03","2,699",Aug-23,Strata,127,"29,055",99 yrs lease commencing from 1975,09,06 to 10
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"2,380,000","1,011.82","2,352",Aug-23,Strata,94,"25,319",99 yrs lease commencing from 2011,14,01 to 05
UPPER SERANGOON SHOPPING CENTRE,UPPER SERANGOON ROAD,Office,"428,000",204.52,"2,093",Aug-23,Strata,19,"22,526",Freehold,19,01 to 05
INTERNATIONAL PLAZA,ANSON ROAD,Office,"787,100",462.85,"1,701",Aug-23,Strata,43,"18,305",99 yrs lease commencing from 1970,02,06 to 10
SOHO LIFE,JOO CHIAT ROAD,Office,"680,000",344.45,"1,974",Aug-23,Strata,32,"21,250",Freehold,15,01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,118,000",538.2,"2,077",Aug-23,Strata,50,"22,360",99 yrs lease commencing from 2011,14,01 to 05
WOODS SQUARE,WOODLANDS SQUARE,Office,"970,000",656.6,"1,477",Aug-23,Strata,61,"15,902",99 yrs lease commencing from 2014,25,01 to 05
PS100,PECK SEAH STREET,Office,"1,300,000",473.62,"2,745",Aug-23,Strata,44,"29,545",99 yrs lease commencing from 2011,02,06 to 10
BYLANDS BUILDING,MIDDLE ROAD,Office,"308,000",139.93,"2,201",Aug-23,Strata,13,"23,692",99 yrs lease commencing from 1978,07,01 to 05
THE MODULES,JOO CHIAT ROAD,Office,"911,888",473.62,"1,925",Aug-23,Strata,44,"20,725",Freehold,15,01 to 05
VIVA VISTA,SOUTH BUONA VISTA ROAD,Office,"550,000",409.03,"1,345",Aug-23,Strata,38,"14,474",Freehold,05,B1 to B5
THE CENTRAL,EU TONG SEN STREET,Office,"1,833,000",645.84,"2,838",Aug-23,Strata,60,"30,550",99 yrs lease commencing from 2001,01,06 to 10
PARKLANE SHOPPING MALL,SELEGIE ROAD,Office,"1,028,000",861.12,"1,194",Aug-23,Strata,80,"12,850",99 yrs lease commencing from 1974,07,06 to 10
SOHO LIFE,JOO CHIAT ROAD,Office,"725,000",419.8,"1,727",Aug-23,Strata,39,"18,590",Freehold,15,01 to 05
CONCORDE SHOPPING CENTRE,OUTRAM ROAD,Office,"436,000",290.63,"1,500",Aug-23,Strata,27,"16,148",99 yrs lease commencing from 1980,03,B1 to B5
THE CENTRAL,EU TONG SEN STREET,Office,"1,800,000",645.84,"2,787",Aug-23,Strata,60,"30,000",99 yrs lease commencing from 2001,01,21 to 25
SOHO LIFE,JOO CHIAT ROAD,Office,"725,800",398.27,"1,822",Aug-23,Strata,37,"19,616",Freehold,15,01 to 05
CT HUB 2,LAVENDER STREET,Office,"1,250,000",624.31,"2,002",Aug-23,Strata,58,"21,552",63 yrs lease commencing from 2012,12,06 to 10
NOMU,HANDY ROAD,Office,"23,988,888","6,329.23","3,790",Aug-23,Strata,588,"40,797",Freehold,09,01 to 05
INTERNATIONAL PLAZA,ANSON ROAD,Office,"1,050,000",462.85,"2,269",Aug-23,Strata,43,"24,419",99 yrs lease commencing from 1970,02,16 to 20
VISION EXCHANGE,VENTURE DRIVE,Office,"1,806,000",764.24,"2,363",Jul-23,Strata,71,"25,437",99 yrs lease commencing from 2013,22,11 to 15
WOODS SQUARE,WOODLANDS SQUARE,Office,"2,700,000","1,259.39","2,144",Jul-23,Strata,117,"23,077",99 yrs lease commencing from 2014,25,11 to 15
HOA NAM BUILDING,FOCH ROAD,Office,"760,000",344.45,"2,206",Jul-23,Strata,32,"23,750",Freehold,08,01 to 05
ICON@CHANGI,CHANGI ROAD,Office,"638,000",365.98,"1,743",Jul-23,Strata,34,"18,765",Freehold,14,01 to 05
HOA NAM BUILDING,FOCH ROAD,Office,"720,000",344.45,"2,090",Jul-23,Strata,32,"22,500",Freehold,08,01 to 05
CENTROPOD @ CHANGI,CHANGI ROAD,Office,"1,038,000",688.9,"1,507",Jul-23,Strata,64,"16,219",Freehold,14,01 to 05
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,404,888",645.84,"2,175",Jul-23,Strata,60,"23,415",99 yrs lease commencing from 2014,25,11 to 15
CHINATOWN POINT,NEW BRIDGE ROAD,Office,"1,830,000","1,054.87","1,735",Jul-23,Strata,98,"18,673",99 yrs lease commencing from 1980,01,06 to 10
TEXTILE CENTRE,JALAN SULTAN,Office,"938,000",882.65,"1,063",Jul-23,Strata,82,"11,439",99 yrs lease commencing from 1970,07,06 to 10
ICON@CHANGI,CHANGI ROAD,Office,"700,000",365.98,"1,913",Jul-23,Strata,34,"20,588",Freehold,14,01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,268,000",538.2,"2,356",Jul-23,Strata,50,"25,360",99 yrs lease commencing from 2011,14,11 to 15
111 SOMERSET,SOMERSET ROAD,Office,"1,912,086",721.19,"2,651",Jul-23,Strata,67,"28,539",99 yrs lease commencing from 1975,09,06 to 10
111 SOMERSET,SOMERSET ROAD,Office,"2,544,500",893.41,"2,848",Jul-23,Strata,83,"30,657",99 yrs lease commencing from 1975,09,06 to 10
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,246,230",548.96,"2,270",Jul-23,Strata,51,"24,436",99 yrs lease commencing from 2011,14,06 to 10
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,246,230",548.96,"2,270",Jul-23,Strata,51,"24,436",99 yrs lease commencing from 2011,14,06 to 10
CT HUB 2,LAVENDER STREET,Office,"1,467,570",688.9,"2,130",Jul-23,Strata,64,"22,931",63 yrs lease commencing from 2012,12,11 to 15
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,184,593",559.73,"2,116",Jul-23,Strata,52,"22,781",99 yrs lease commencing from 2014,25,06 to 10
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,392,861",656.6,"2,121",Jul-23,Strata,61,"22,834",99 yrs lease commencing from 2014,25,11 to 15
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,169,231",559.73,"2,089",Jul-23,Strata,52,"22,485",99 yrs lease commencing from 2014,25,11 to 15
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,340,265",645.84,"2,075",Jul-23,Strata,60,"22,338",99 yrs lease commencing from 2014,25,06 to 10
SUNSHINE PLAZA,BENCOOLEN STREET,Office,"1,040,000",516.67,"2,013",Jul-23,Strata,48,"21,667",99 yrs lease commencing from 1997,07,06 to 10
VISION EXCHANGE,VENTURE DRIVE,Office,"1,671,499",839.59,"1,991",Jul-23,Strata,78,"21,429",99 yrs lease commencing from 2013,22,06 to 10
SUNTEC TOWER TWO,TEMASEK BOULEVARD,Office,"16,518,150","7,028.89","2,350",Jul-23,Strata,653,"25,296",99 yrs lease commencing from 1989,01,06 to 10
INTERNATIONAL PLAZA,ANSON ROAD,Office,"1,731,600",936.47,"1,849",Jul-23,Strata,87,"19,903",99 yrs lease commencing from 1970,02,21 to 25
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,379,000",656.6,"2,100",Jul-23,Strata,61,"22,607",99 yrs lease commencing from 2014,25,06 to 10
SUNTEC TOWER TWO,TEMASEK BOULEVARD,Office,"11,612,600","3,745.87","3,100",Jul-23,Strata,348,"33,370",99 yrs lease commencing from 1989,01,16 to 20
SOLITAIRE ON CECIL,CECIL STREET,Office,"51,184,000","12,464.71","4,106",Jul-23,Strata,"1,158","44,200",Freehold,01,06 to 10
SOLITAIRE ON CECIL,CECIL STREET,Office,"52,054,000","12,464.71","4,176",Jul-23,Strata,"1,158","44,952",Freehold,01,11 to 15
SUNTEC TOWER ONE,TEMASEK BOULEVARD,Office,"11,502,600","4,036.5","2,850",Jul-23,Strata,375,"30,674",99 yrs lease commencing from 1989,01,06 to 10
SOHO LIFE,JOO CHIAT ROAD,Office,"695,000",387.5,"1,794",Jul-23,Strata,36,"19,306",Freehold,15,01 to 05
ORCHARD TOWERS,ORCHARD ROAD,Office,"927,340",398.27,"2,328",Jul-23,Strata,37,"25,063",Freehold,09,11 to 15
SOHO LIFE,JOO CHIAT ROAD,Office,"665,000",344.45,"1,931",Jun-23,Strata,32,"20,781",Freehold,15,01 to 05
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"550,000",441.32,"1,246",Jun-23,Strata,41,"13,415",99 yrs lease commencing from 1969,03,06 to 10
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,189,440",559.73,"2,125",Jun-23,Strata,52,"22,874",99 yrs lease commencing from 2014,25,11 to 15
THE PLAZA,BEACH ROAD,Office,"310,000",150.7,"2,057",Jun-23,Strata,14,"22,143",99 yrs lease commencing from 1968,07,01 to 05
SOLITAIRE ON CECIL,CECIL STREET,Office,"10,081,929","2,529.54","3,986",Jun-23,Strata,235,"42,902",Freehold,01,06 to 10
SOLITAIRE ON CECIL,CECIL STREET,Office,"7,910,261","1,980.58","3,994",Jun-23,Strata,184,"42,991",Freehold,01,06 to 10
SOLITAIRE ON CECIL,CECIL STREET,Office,"4,431,423","1,108.69","3,997",Jun-23,Strata,103,"43,024",Freehold,01,06 to 10
SOLITAIRE ON CECIL,CECIL STREET,Office,"5,087,504","1,270.15","4,005",Jun-23,Strata,118,"43,114",Freehold,01,06 to 10
SOLITAIRE ON CECIL,CECIL STREET,Office,"4,783,907","1,162.51","4,115",Jun-23,Strata,108,"44,295",Freehold,01,06 to 10
SOLITAIRE ON CECIL,CECIL STREET,Office,"5,265,647","1,280.92","4,111",Jun-23,Strata,119,"44,249",Freehold,01,06 to 10
SOLITAIRE ON CECIL,CECIL STREET,Office,"5,668,890","1,377.79","4,114",Jun-23,Strata,128,"44,288",Freehold,01,06 to 10
SOLITAIRE ON CECIL,CECIL STREET,Office,"7,253,689","1,754.53","4,134",Jun-23,Strata,163,"44,501",Freehold,01,06 to 10
ORCHARD TOWERS,ORCHARD ROAD,Office,"728,000",301.39,"2,415",Jun-23,Strata,28,"26,000",Freehold,09,01 to 05
INTERNATIONAL PLAZA,ANSON ROAD,Office,"3,050,000","1,453.14","2,099",Jun-23,Strata,135,"22,593",99 yrs lease commencing from 1970,02,11 to 15
SOHO LIFE,JOO CHIAT ROAD,Office,"640,000",344.45,"1,858",Jun-23,Strata,32,"20,000",Freehold,15,01 to 05
SUNTEC TOWER THREE,TEMASEK BOULEVARD,Office,"13,797,200","4,058.03","3,400",Jun-23,Strata,377,"36,597",99 yrs lease commencing from 1989,01,31 to 35
INTERNATIONAL PLAZA,ANSON ROAD,Office,"1,650,000",936.47,"1,762",Jun-23,Strata,87,"18,966",99 yrs lease commencing from 1970,02,06 to 10
OXLEY TOWER,ROBINSON ROAD,Office,"880,000",236.81,"3,716",Jun-23,Strata,22,"40,000",Freehold,01,01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,190,000",516.67,"2,303",Jun-23,Strata,48,"24,792",99 yrs lease commencing from 2011,14,06 to 10
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,190,000",505.91,"2,352",Jun-23,Strata,47,"25,319",99 yrs lease commencing from 2011,14,06 to 10
PLUS,CECIL STREET,Office,"7,017,300","2,034.4","3,449",Jun-23,Strata,189,"37,129",99 yrs lease commencing from 1989,01,26 to 30
SHENTON HOUSE,SHENTON WAY,Office,"838,508",441.32,"1,900",Jun-23,Strata,41,"20,451",99 yrs lease commencing from 1969,01,06 to 10
HAVELOCK2,HAVELOCK ROAD,Office,"650,000",409.03,"1,589",Jun-23,Strata,38,"17,105",99 yrs lease commencing from 1983,01,01 to 05
PLUS,CECIL STREET,Office,"3,974,400","1,151.75","3,451",Jun-23,Strata,107,"37,144",99 yrs lease commencing from 1989,01,26 to 30
THE PLAZA,BEACH ROAD,Office,"610,000",333.68,"1,828",Jun-23,Strata,31,"19,677",99 yrs lease commencing from 1968,07,11 to 15
VISION EXCHANGE,VENTURE DRIVE,Office,"1,080,000",516.67,"2,090",Jun-23,Strata,48,"22,500",99 yrs lease commencing from 2013,22,06 to 10
OKIO,BALESTIER ROAD,Office,"1,600,000",753.48,"2,123",Jun-23,Strata,70,"22,857",Freehold,12,01 to 05
TAHIR BUILDING,ROBINSON ROAD,Office,"3,550,000",925.7,"3,835",Jun-23,Strata,86,"41,279",Freehold,01,06 to 10
PLUS,CECIL STREET,Office,"8,355,900","2,421.9","3,450",Jun-23,Strata,225,"37,137",99 yrs lease commencing from 1989,01,26 to 30
THE MEZZO,BALESTIER ROAD,Office,"1,380,000",818.06,"1,687",Jun-23,Strata,76,"18,158",Freehold,12,01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,075,000",484.38,"2,219",Jun-23,Strata,45,"23,889",99 yrs lease commencing from 2011,14,01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,075,000",484.38,"2,219",Jun-23,Strata,45,"23,889",99 yrs lease commencing from 2011,14,01 to 05
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"680,000",527.44,"1,289",Jun-23,Strata,49,"13,878",99 yrs lease commencing from 1969,03,11 to 15
PS100,PECK SEAH STREET,Office,"1,315,000",473.62,"2,777",Jun-23,Strata,44,"29,886",99 yrs lease commencing from 2011,02,06 to 10
THE CENTRAL,EU TONG SEN STREET,Office,"1,480,000",635.08,"2,330",Jun-23,Strata,59,"25,085",99 yrs lease commencing from 2001,01,06 to 10
BUKIT TIMAH SHOPPING CENTRE,UPPER BUKIT TIMAH ROAD,Office,"450,000",139.93,"3,216",Jun-23,Strata,13,"34,615",999 yrs lease commencing from 1883,21,01 to 05
ROBINSON SQUARE,ROBINSON ROAD,Office,"3,350,000","1,184.04","2,829",Jun-23,Strata,110,"30,455",Freehold,01,06 to 10
THE CENTRAL,EU TONG SEN STREET,Office,"1,690,000",602.78,"2,804",Jun-23,Strata,56,"30,179",99 yrs lease commencing from 2001,01,06 to 10
111 SOMERSET,SOMERSET ROAD,Office,"2,192,300",764.24,"2,869",Jun-23,Strata,71,"30,877",99 yrs lease commencing from 1975,09,06 to 10
111 SOMERSET,SOMERSET ROAD,Office,"3,564,300","1,227.1","2,905",Jun-23,Strata,114,"31,266",99 yrs lease commencing from 1975,09,06 to 10
PLUS,CECIL STREET,Office,"3,275,000","1,097.93","2,983",May-23,Strata,102,"32,108",99 yrs lease commencing from 1989,01,06 to 10
SOUTHBANK,NORTH BRIDGE ROAD,Office,"950,000",462.85,"2,052",May-23,Strata,43,"22,093",99 yrs lease commencing from 2006,07,01 to 05
BUKIT TIMAH SHOPPING CENTRE,UPPER BUKIT TIMAH ROAD,Office,"580,000",226.04,"2,566",May-23,Strata,21,"27,619",999 yrs lease commencing from 1883,21,06 to 10
CHINATOWN POINT,NEW BRIDGE ROAD,Office,"4,950,000","2,486.48","1,991",May-23,Strata,231,"21,429",99 yrs lease commencing from 1980,01,21 to 25
VISION EXCHANGE,VENTURE DRIVE,Office,"1,000,000",441.32,"2,266",May-23,Strata,41,"24,390",99 yrs lease commencing from 2013,22,11 to 15
SUNTEC TOWER TWO,TEMASEK BOULEVARD,Office,"12,568,610","4,348.66","2,890",May-23,Strata,404,"31,110",99 yrs lease commencing from 1989,01,06 to 10
THE SUNFLOWER,GEYLANG ROAD,Office,"1,480,000","1,399.32","1,058",May-23,Strata,130,"11,385",Freehold,14,01 to 05
ORCHARD TOWERS,ORCHARD ROAD,Office,"1,890,000",796.54,"2,373",May-23,Strata,74,"25,541",Freehold,09,06 to 10
SOLITAIRE ON CECIL,CECIL STREET,Office,"56,205,000","13,132.08","4,280",May-23,Strata,"1,220","46,070",Freehold,01,16 to 20
GOLDHILL PLAZA,GOLDHILL PLAZA,Office,"2,350,000","1,184.04","1,985",May-23,Strata,110,"21,364",999 yrs lease commencing from 1972,11,01 to 05
SUNTEC TOWER THREE,TEMASEK BOULEVARD,Office,"9,955,200","2,927.81","3,400",May-23,Strata,272,"36,600",99 yrs lease commencing from 1989,01,31 to 35
CT HUB 2,LAVENDER STREET,Office,"1,279,080",645.84,"1,980",May-23,Strata,60,"21,318",63 yrs lease commencing from 2012,12,11 to 15
CT HUB 2,LAVENDER STREET,Office,"1,342,440",678.13,"1,980",May-23,Strata,63,"21,309",63 yrs lease commencing from 2012,12,11 to 15
ICON@CHANGI,CHANGI ROAD,Office,"800,000",430.56,"1,858",May-23,Strata,40,"20,000",Freehold,14,01 to 05
